flight_id,airline,source,destination,departure_time,arrival_time,duration,duration_minutes,route,departure_date,arrival_date,departure_hour,arrival_hour,is_overnight
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,01:50:00,110.0,HYD → MAA,2026-04-20,2026-04-20,22,23,False
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,03:16:00,196.0,CCU → DEL,2026-04-20,2026-04-21,21,1,True
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,01:53:00,113.0,DEL → HYD,2026-04-20,2026-04-20,21,23,False
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,01:04:00,64.0,HYD → CCU,2026-04-20,2026-04-20,21,23,False
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,01:06:00,66.0,BLR → BOM,2026-04-20,2026-04-20,21,23,False
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,00:55:00,55.0,CCU → DEL,2026-04-20,2026-04-20,21,22,False
UK003,UNKNOWN,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,04:38:00,278.0,HYD → DEL,2026-04-20,2026-04-21,21,2,True
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,02:06:00,126.0,HYD → MAA,2026-04-20,2026-04-20,21,23,False
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,00:40:00,40.0,DEL → HYD,2026-04-20,2026-04-20,21,22,False
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,03:26:00,206.0,BOM → CCU,2026-04-20,2026-04-21,21,1,True
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,02:00:00.298000,120.0,HYD → MAA,2026-04-20,2026-04-20,21,23,False
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,03:27:00,207.0,BLR → BOM,2026-04-20,2026-04-21,21,0,True
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,01:51:00,111.0,CCU → DEL,2026-04-20,2026-04-20,20,22,False
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,01:16:00,76.0,BOM → MAA,2026-04-20,2026-04-20,20,22,False
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,00:37:00,37.0,HYD → BOM,2026-04-20,2026-04-20,20,21,False
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,04:38:00,278.0,HYD → BOM,2026-04-20,2026-04-21,20,1,True
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,01:23:00,83.0,DEL → CCU,2026-04-20,2026-04-20,20,22,False
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,03:19:00,199.0,BOM → DEL,2026-04-20,2026-04-20,20,23,False
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,01:37:00,97.0,HYD → MAA,2026-04-20,2026-04-20,20,22,False
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,04:47:00,287.0,BOM → MAA,2026-04-20,2026-04-21,20,1,True
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,04:00:00,240.0,CCU → DEL,2026-04-20,2026-04-21,20,0,True
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,00:37:00,37.0,MAA → HYD,2026-04-20,2026-04-20,20,21,False
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,01:38:00,98.0,BOM → DEL,2026-04-20,2026-04-20,20,21,False
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,02:46:00,166.0,CCU → HYD,2026-04-20,2026-04-20,20,23,False
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,00:50:00,50.0,BOM → MAA,2026-04-20,2026-04-20,20,21,False
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,03:30:00,210.0,DEL → HYD,2026-04-20,2026-04-20,20,23,False
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,04:34:00,274.0,DEL → MAA,2026-04-20,2026-04-21,20,0,True
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,00:42:00,42.0,MAA → CCU,2026-04-20,2026-04-20,19,20,False
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,02:00:00,120.0,HYD → CCU,2026-04-20,2026-04-20,19,21,False
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,04:24:00,264.0,CCU → BLR,2026-04-20,2026-04-21,19,0,True
SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,00:45:00,45.0,MAA → BLR,2026-04-20,2026-04-20,19,20,False
6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,02:20:00,140.0,CCU → HYD,2026-04-20,2026-04-20,19,22,False
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,01:23:00,83.0,MAA → BLR,2026-04-20,2026-04-20,19,21,False
AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,04:49:00,289.0,MAA → BLR,2026-04-20,2026-04-21,19,0,True
AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,02:09:00,129.0,BLR → BOM,2026-04-20,2026-04-20,19,21,False
UK209,UNKNOWN,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,02:45:00,165.0,MAA → BLR,2026-04-20,2026-04-20,19,21,False
SJ043,UNKNOWN,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,02:09:00,129.0,MAA → DEL,2026-04-20,2026-04-20,18,21,False
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,04:08:00,248.0,HYD → BLR,2026-04-20,2026-04-20,18,22,False
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,03:14:00,194.0,MAA → HYD,2026-04-20,2026-04-20,18,21,False
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,00:30:00,30.0,DEL → CCU,2026-04-20,2026-04-20,18,19,False
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,02:11:00,131.0,BOM → HYD,2026-04-20,2026-04-20,18,20,False
6F270,UNKNOWN,HYD,MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,00:48:00,48.0,HYD → MAA,2026-04-20,2026-04-20,18,19,False
6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,03:25:00,205.0,CCU → HYD,2026-04-20,2026-04-20,18,21,False
SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,03:59:00,239.0,MAA → BOM,2026-04-20,2026-04-20,18,22,False
6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,02:45:00,165.0,BLR → CCU,2026-04-20,2026-04-20,17,20,False
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,00:34:00,34.0,BOM → CCU,2026-04-20,2026-04-20,17,18,False
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,02:47:00,167.0,MAA → HYD,2026-04-20,2026-04-20,17,20,False
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,02:12:00,132.0,BOM → DEL,2026-04-20,2026-04-20,17,19,False
SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,01:29:00,89.0,HYD → CCU,2026-04-20,2026-04-20,17,19,False
SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,01:42:00,102.0,HYD → MAA,2026-04-20,2026-04-20,17,19,False
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,02:49:00,169.0,BOM → CCU,2026-04-20,2026-04-20,17,20,False
SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,01:47:00,107.0,CCU → HYD,2026-04-20,2026-04-20,17,19,False
6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,01:26:00,86.0,BOM → HYD,2026-04-20,2026-04-20,17,18,False
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,04:16:00,256.0,MAA → BLR,2026-04-20,2026-04-20,17,21,False
SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,01:49:00,109.0,BOM → BLR,2026-04-20,2026-04-20,17,18,False
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,04:01:00,241.0,CCU → HYD,2026-04-20,2026-04-20,16,20,False
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,01:50:00,110.0,BLR → BOM,2026-04-20,2026-04-20,16,18,False
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,02:43:00,163.0,HYD → DEL,2026-04-20,2026-04-20,16,19,False
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,02:42:00,162.0,MAA → DEL,2026-04-20,2026-04-20,16,19,False
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,01:57:00,117.0,BOM → DEL,2026-04-20,2026-04-20,16,18,False
SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,02:04:00,124.0,BLR → BOM,2026-04-20,2026-04-20,16,18,False
AI242,UNKNOWN,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00,62.0,BLR → CCU,2026-04-20,2026-04-20,16,17,False
SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,02:28:00,148.0,BOM → CCU,2026-04-20,2026-04-20,16,19,False
6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,01:58:00,118.0,BOM → CCU,2026-04-20,2026-04-20,16,18,False
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,01:12:00,72.0,DEL → BOM,2026-04-20,2026-04-20,16,17,False
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,01:41:00,101.0,BLR → MAA,2026-04-20,2026-04-20,16,18,False
UK224,UNKNOWN,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,03:59:00,239.0,CCU → MAA,2026-04-20,2026-04-20,16,20,False
UK077,UNKNOWN,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,01:38:00,98.0,HYD → BOM,2026-04-20,2026-04-20,16,18,False
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,01:15:00,75.0,MAA → CCU,2026-04-20,2026-04-20,16,17,False
AI221,Air India,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,02:36:00,156.0,MAA → HYD,2026-04-20,2026-04-20,16,18,False
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,01:00:00.298000,60.0,BLR → BOM,2026-04-20,2026-04-20,16,17,False
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,04:12:00,252.0,BOM → HYD,2026-04-20,2026-04-20,15,19,False
AI072,Air India,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,00:58:00,58.0,BLR → CCU,2026-04-20,2026-04-20,15,16,False
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,04:06:00,246.0,BOM → DEL,2026-04-20,2026-04-20,15,19,False
SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,03:30:00,210.0,BOM → HYD,2026-04-20,2026-04-20,15,19,False
6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,01:17:00,77.0,BLR → BOM,2026-04-20,2026-04-20,15,16,False
6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,01:46:00,106.0,DEL → HYD,2026-04-20,2026-04-20,15,17,False
6F017,IndiGo,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,02:41:00,161.0,CCU → BOM,2026-04-20,2026-04-20,15,18,False
6F245,IndiGo,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,02:41:00,161.0,CCU → BOM,2026-04-20,2026-04-20,15,18,False
6F180,IndiGo,MAA,BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,04:24:00,264.0,MAA → BLR,2026-04-20,2026-04-20,15,19,False
6F152,IndiGo,CCU,DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,02:04:00,124.0,CCU → DEL,2026-04-20,2026-04-20,15,17,False
SJ034,SpiceJet,MAA,BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,04:51:00,291.0,MAA → BOM,2026-04-20,2026-04-20,15,20,False
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,01:42:00,102.0,CCU → BOM,2026-04-20,2026-04-20,15,16,False
UK189,Vistara,BLR,MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,03:44:00,224.0,BLR → MAA,2026-04-20,2026-04-20,15,18,False
SJ044,SpiceJet,DEL,CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,02:37:00,157.0,DEL → CCU,2026-04-20,2026-04-20,15,17,False
SJ196,SpiceJet,DEL,HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,02:46:00,166.0,DEL → HYD,2026-04-20,2026-04-20,14,17,False
6F188,IndiGo,DEL,HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,04:42:00,282.0,DEL → HYD,2026-04-20,2026-04-20,14,19,False
6F181,IndiGo,BOM,MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,01:48:00,108.0,BOM → MAA,2026-04-20,2026-04-20,14,16,False
6F077,IndiGo,CCU,DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,04:18:00,258.0,CCU → DEL,2026-04-20,2026-04-20,14,19,False
SJ154,SpiceJet,BLR,HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,01:39:00,99.0,BLR → HYD,2026-04-20,2026-04-20,14,16,False
AI025,Air India,HYD,DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,02:25:00,145.0,HYD → DEL,2026-04-20,2026-04-20,14,17,False
AI094,Air India,DEL,BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,01:00:00.298000,60.0,DEL → BLR,2026-04-20,2026-04-20,14,15,False
6F191,IndiGo,BLR,DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,00:30:00,30.0,BLR → DEL,2026-04-20,2026-04-20,14,15,False
SJ085,SpiceJet,BLR,MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,04:30:00,270.0,BLR → MAA,2026-04-20,2026-04-20,14,19,False
6F261,UNKNOWN,CCU,DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,02:58:00,178.0,CCU → DEL,2026-04-20,2026-04-20,14,17,False
6F129,IndiGo,DEL,CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,02:19:00,139.0,DEL → CCU,2026-04-20,2026-04-20,14,16,False
6F254,UNKNOWN,MAA,BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,03:35:00,215.0,MAA → BLR,2026-04-20,2026-04-20,14,18,False
SJ185,SpiceJet,BOM,CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,01:00:00,60.0,BOM → CCU,2026-04-20,2026-04-20,14,15,False
6F030,IndiGo,BOM,DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,02:50:00,170.0,BOM → DEL,2026-04-20,2026-04-20,14,17,False
SJ222,SpiceJet,BOM,DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,02:54:00,174.0,BOM → DEL,2026-04-20,2026-04-20,14,17,False
6F259,UNKNOWN,BOM,DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,01:11:00,71.0,BOM → DEL,2026-04-20,2026-04-20,14,15,False
UK083,Vistara,DEL,HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,00:49:00,49.0,DEL → HYD,2026-04-20,2026-04-20,14,14,False
6F051,IndiGo,BLR,BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,02:00:00,120.0,BLR → BOM,2026-04-20,2026-04-20,13,15,False
SJ088,SpiceJet,CCU,MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,00:32:00,32.0,CCU → MAA,2026-04-20,2026-04-20,13,14,False
6F146,IndiGo,HYD,MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,01:16:00,76.0,HYD → MAA,2026-04-20,2026-04-20,13,15,False
6F047,IndiGo,MAA,DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,02:05:00,125.0,MAA → DEL,2026-04-20,2026-04-20,13,15,False
AI077,Air India,CCU,HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,01:06:00,66.0,CCU → HYD,2026-04-20,2026-04-20,13,14,False
UK134,Vistara,HYD,CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,03:42:00,222.0,HYD → CCU,2026-04-20,2026-04-20,13,17,False
AI056,Air India,DEL,MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,03:55:00,235.0,DEL → MAA,2026-04-20,2026-04-20,13,17,False
UK141,UNKNOWN,HYD,MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,02:21:00,141.0,HYD → MAA,2026-04-20,2026-04-20,13,15,False
AI030,Air India,CCU,HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,03:19:00,199.0,CCU → HYD,2026-04-20,2026-04-20,13,16,False
AI029,Air India,MAA,DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,04:24:00,264.0,MAA → DEL,2026-04-20,2026-04-20,13,17,False
SJ167,SpiceJet,MAA,CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,00:54:00,54.0,MAA → CCU,2026-04-20,2026-04-20,13,14,False
UK017,Vistara,BLR,HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,01:35:00,95.0,BLR → HYD,2026-04-20,2026-04-20,13,14,False
6F229,IndiGo,MAA,DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,01:20:00,80.0,MAA → DEL,2026-04-20,2026-04-20,13,14,False
SJ117,SpiceJet,MAA,BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,03:56:00,236.0,MAA → BLR,2026-04-20,2026-04-20,13,17,False
6F184,IndiGo,MAA,BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,02:59:00,179.0,MAA → BOM,2026-04-20,2026-04-20,13,16,False
AI031,Air India,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,03:06:00,186.0,DEL → MAA,2026-04-20,2026-04-20,13,16,False
AI178,Air India,CCU,BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,00:59:00,59.0,CCU → BLR,2026-04-20,2026-04-20,13,14,False
SJ089,SpiceJet,HYD,CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,04:33:00,273.0,HYD → CCU,2026-04-20,2026-04-20,12,17,False
UK166,Vistara,HYD,MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,04:53:00,293.0,HYD → MAA,2026-04-20,2026-04-20,12,17,False
UK104,Vistara,DEL,BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,01:22:00,82.0,DEL → BOM,2026-04-20,2026-04-20,12,13,False
6F168,IndiGo,HYD,DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,03:40:00,220.0,HYD → DEL,2026-04-20,2026-04-20,12,15,False
AI222,UNKNOWN,BOM,DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,01:04:00,64.0,BOM → DEL,2026-04-20,2026-04-20,12,13,False
SJ025,SpiceJet,BOM,CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,03:27:00,207.0,BOM → CCU,2026-04-20,2026-04-20,12,15,False
6F255,UNKNOWN,DEL,BOM,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,03:34:00,214.0,DEL → BOM,2026-04-20,2026-04-20,11,15,False
UK228,Vistara,DEL,MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,03:10:00,190.0,DEL → MAA,2026-04-20,2026-04-20,11,15,False
6F158,IndiGo,CCU,MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,04:06:00,246.0,CCU → MAA,2026-04-20,2026-04-20,11,16,False
SJ218,SpiceJet,DEL,HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,03:05:00,185.0,DEL → HYD,2026-04-20,2026-04-20,11,15,False
6F034,IndiGo,BOM,DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,00:56:00,56.0,BOM → DEL,2026-04-20,2026-04-20,11,12,False
UK156,Vistara,MAA,BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,04:04:00,244.0,MAA → BLR,2026-04-20,2026-04-20,11,15,False
6F105,IndiGo,BLR,BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,01:12:00,72.0,BLR → BOM,2026-04-20,2026-04-20,11,12,False
6F073,IndiGo,DEL,CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,03:40:00,220.0,DEL → CCU,2026-04-20,2026-04-20,11,15,False
SJ074,SpiceJet,DEL,CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,00:41:00,41.0,DEL → CCU,2026-04-20,2026-04-20,11,12,False
6F234,IndiGo,BOM,DEL,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,02:51:00,171.0,BOM → DEL,2026-04-20,2026-04-20,11,14,False
6F068,IndiGo,BLR,HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,03:49:00,229.0,BLR → HYD,2026-04-20,2026-04-20,11,15,False
6F074,IndiGo,HYD,BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,03:20:00,200.0,HYD → BOM,2026-04-20,2026-04-20,11,14,False
AI038,Air India,HYD,MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,04:39:00,279.0,HYD → MAA,2026-04-20,2026-04-20,11,15,False
